antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Coat'}),frozenset({'Outerwear'}),0.041282051282051285,0.08307692307692308,0.041282051282051285,1.0,12.037037037037036,1.0,0.03785246548323472,inf,0.9564054560042792,0.4969135802469136,1.0,0.7484567901234568
frozenset({'Outerwear'}),frozenset({'Jacket'}),0.08307692307692308,0.0417948717948718,0.0417948717948718,0.5030864197530864,12.037037037037036,1.0,0.03832268244575937,1.92831342570473,1.0,0.5030864197530864,0.48141210517448146,0.7515432098765432
frozenset({'Shoes'}),frozenset({'Footwear'}),0.038461538461538464,0.1535897435897436,0.038461538461538464,1.0,6.510851419031719,1.0,0.03255424063116371,inf,0.8802666666666666,0.25041736227045075,1.0,0.6252086811352253
frozenset({'Boots'}),frozenset({'Footwear'}),0.036923076923076927,0.1535897435897436,0.036923076923076927,1.0,6.510851419031719,1.0,0.03125207100591716,inf,0.878860489882854,0.24040066777963276,1.0,0.6202003338898163
frozenset({'Sandals'}),frozenset({'Footwear'}),0.041025641025641026,0.1535897435897436,0.041025641025641026,1.0,6.510851419031719,1.0,0.034724523339907956,inf,0.8826203208556149,0.2671118530884808,1.0,0.6335559265442404
frozenset({'Sneakers'}),frozenset({'Footwear'}),0.03717948717948718,0.1535897435897436,0.03717948717948718,1.0,6.510851419031719,1.0,0.03146909927679158,inf,0.8790945406125165,0.24207011686143573,1.0,0.6210350584307178
frozenset({'Sunglasses'}),frozenset({'Accessories'}),0.041282051282051285,0.31794871794871793,0.041282051282051285,1.0,3.145161290322581,1.0,0.02815647600262985,inf,0.7114201658197379,0.12983870967741937,1.0,0.5649193548387097
frozenset({'Handbag'}),frozenset({'Accessories'}),0.03923076923076923,0.31794871794871793,0.03923076923076923,1.0,3.145161290322581,1.0,0.02675739644970414,inf,0.7099012543368027,0.12338709677419354,1.0,0.5616935483870967
frozenset({'Scarf'}),frozenset({'Accessories'}),0.040256410256410254,0.31794871794871793,0.040256410256410254,1.0,3.145161290322581,1.0,0.027456936226166996,inf,0.7106598984771575,0.12661290322580646,1.0,0.5633064516129033
frozenset({'Jewelry'}),frozenset({'Accessories'}),0.04384615384615385,0.31794871794871793,0.04384615384615385,1.0,3.145161290322581,1.0,0.029905325443786983,inf,0.7133279699651381,0.13790322580645162,1.0,0.5689516129032258
frozenset({'Backpack'}),frozenset({'Accessories'}),0.03666666666666667,0.31794871794871793,0.03666666666666667,1.0,3.145161290322581,1.0,0.02500854700854701,inf,0.708011711471919,0.1153225806451613,1.0,0.5576612903225806
frozenset({'Belt'}),frozenset({'Accessories'}),0.041282051282051285,0.31794871794871793,0.041282051282051285,1.0,3.145161290322581,1.0,0.02815647600262985,inf,0.7114201658197379,0.12983870967741937,1.0,0.5649193548387097
frozenset({'Gloves'}),frozenset({'Accessories'}),0.035897435897435895,0.31794871794871793,0.035897435897435895,1.0,3.145161290322581,1.0,0.024483892176199867,inf,0.7074468085106383,0.11290322580645161,1.0,0.5564516129032258
frozenset({'Hat'}),frozenset({'Accessories'}),0.03948717948717949,0.31794871794871793,0.03948717948717949,1.0,3.145161290322581,1.0,0.026932281393819858,inf,0.7100907634810465,0.12419354838709679,1.0,0.5620967741935484
frozenset({'Blouse'}),frozenset({'Clothing'}),0.04384615384615385,0.4453846153846154,0.04384615384615385,1.0,2.245250431778929,1.0,0.024317751479289943,inf,0.5800482703137572,0.09844559585492228,1.0,0.5492227979274611
frozenset({'Pants'}),frozenset({'Clothing'}),0.04384615384615385,0.4453846153846154,0.04384615384615385,1.0,2.245250431778929,1.0,0.024317751479289943,inf,0.5800482703137572,0.09844559585492228,1.0,0.5492227979274611
frozenset({'Jeans'}),frozenset({'Clothing'}),0.031794871794871796,0.4453846153846154,0.031794871794871796,1.0,2.245250431778929,1.0,0.017633925049309666,inf,0.5728283898305085,0.07138744962579159,1.0,0.5356937248128958
frozenset({'Skirt'}),frozenset({'Clothing'}),0.04051282051282051,0.4453846153846154,0.04051282051282051,1.0,2.245250431778929,1.0,0.022469033530571992,inf,0.5780331373597006,0.09096142774899252,1.0,0.5454807138744963
frozenset({'Shirt'}),frozenset({'Clothing'}),0.043333333333333335,0.4453846153846154,0.043333333333333335,1.0,2.245250431778929,1.0,0.024033333333333334,inf,0.5797373358348968,0.09729418537708694,1.0,0.5486470926885435
frozenset({'T-shirt'}),frozenset({'Clothing'}),0.03769230769230769,0.4453846153846154,0.03769230769230769,1.0,2.245250431778929,1.0,0.02090473372781065,inf,0.5763389288569144,0.0846286701208981,1.0,0.542314335060449
frozenset({'Sweater'}),frozenset({'Clothing'}),0.04205128205128205,0.4453846153846154,0.04205128205128205,1.0,2.245250431778929,1.0,0.023322287968441813,inf,0.5789614561027837,0.09441565918249856,1.0,0.5472078295912493
frozenset({'Hoodie'}),frozenset({'Clothing'}),0.038717948717948716,0.4453846153846154,0.038717948717948716,1.0,2.245250431778929,1.0,0.021473570019723866,inf,0.576953854361163,0.08693149107656879,1.0,0.5434657455382844
frozenset({'Socks'}),frozenset({'Clothing'}),0.040769230769230766,0.4453846153846154,0.040769230769230766,1.0,2.245250431778929,1.0,0.022611242603550293,inf,0.5781876503608661,0.09153713298791018,1.0,0.5457685664939551
frozenset({'Dress'}),frozenset({'Clothing'}),0.04256410256410256,0.4453846153846154,0.04256410256410256,1.0,2.245250431778929,1.0,0.023606706114398423,inf,0.5792715586502412,0.0955670696603339,1.0,0.547783534830167
frozenset({'Shorts'}),frozenset({'Clothing'}),0.040256410256410254,0.4453846153846154,0.040256410256410254,1.0,2.245250431778929,1.0,0.022326824457593687,inf,0.5778787069195833,0.09038572251007483,1.0,0.5451928612550374
